,MERCHANT_CATEGORIZED_AT,MERCHANT_NAME,MERCHANT_CATEGORIZED_AS,PURCHASE_VALUE,PURCHASED_AT,IS_PURCHASE_PAID_VIA_MPESA_SEND_MONEY,USER_AGE,USER_GENDER,USER_HOUSEHOLD,USER_INCOME,USER_ID,Transaction_ID
0,2022-05-04 10:25:50.588042+00,UONSDA CHURCH  MOGERE MWAYO TITHE,Rent / Mortgage,1700,2022-05-04 13:56:00+00,False,25.0,Male,3,10000,ID_ZX4DCF4K,ID_04mk78fa
1,2021-10-25 16:18:38.586837+00,PARK N GO,Transport & Fuel,100,2021-10-24 14:12:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_04xkfb07
2,2022-05-20 14:17:30.917297+00,SAFARICOM OFFERS  TUNUKIWA,Data & WiFi,20,2022-05-27 12:46:00+00,False,25.0,Male,3,10000,ID_ZX4DCF4K,ID_051urwuw
3,2022-04-12 15:59:14.139347+00,ZILLIONS CREDIT LIMITED,Loan Repayment,3800,2022-02-07 12:16:00+00,False,25.0,Male,5,252000,ID_3JA0MAFB,ID_0e1om7rz
4,2022-05-04 10:24:26.709045+00,MICHAEL MUSEMBI,Bills & Fees,60,2022-05-04 15:28:00+00,False,25.0,Male,3,10000,ID_ZX4DCF4K,ID_0kfcoawb
5,2022-01-07 09:41:44.286084+00,JOSEPH NTHENGE,Miscellaneous,14800,2022-01-08 12:56:00+00,True,27.0,Female,2,8000,ID_L8QMYB09,ID_0ntvo3wr
6,2021-10-05 12:45:58.000193+00,NAIVAS KITENGELA,Groceries,657,2021-10-06 17:11:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_0vakiykh
7,2022-05-13 06:55:53.403538+00,FATUMA OSORE,Bills & Fees,100,2022-05-13 14:04:00+00,False,25.0,Male,3,10000,ID_ZX4DCF4K,ID_0vhidyto
8,2022-05-31 13:27:24.704992+00,FARMERS BUTCHERY,Shopping,1600,2022-02-19 10:34:00+00,False,25.0,Male,5,150000,ID_O8P8YS18,ID_0wnir1ur
9,2022-06-01 10:25:16.7131+00,M-SHWARI ACCOUNT,Bills & Fees,1000,2022-06-02 06:42:00+00,False,25.0,Male,3,10000,ID_ZX4DCF4K,ID_0xrs122b
10,2022-03-16 13:08:19.703288+00,THREE BINS SERVICES,Bills & Fees,500,2021-09-06 07:47:00+00,False,25.0,Female,1,85000,ID_1I8XYBWK,ID_16ubf02u
11,2021-08-06 11:28:03.855344+00,SAFARICOM LIMITED,Data & WiFi,55,2021-07-16 13:34:00+00,False,25.0,Male,3,200000,ID_ECX9BS4A,ID_19gpl659
12,2022-06-01 10:23:56.42678+00,ELIZABETH NYAMBURA,Groceries,300,2021-06-17 11:17:00+00,True,25.0,Female,1,85000,ID_1I8XYBWK,ID_1dzb2jew
13,2021-09-01 02:19:31.317098+00,SAFARICOM POST,Data & WiFi,3000,2021-09-23 08:15:00+00,True,25.0,Female,4,90000,ID_U9WZMGJZ,ID_1ev8a8nu
14,2022-03-16 13:08:19.703288+00,GARIDON ENTERPRISES VIA CO-OP,Groceries,4090,2020-12-28 13:29:00+00,False,25.0,Female,1,250000,ID_OZANC6XT,ID_1i4muuzs
15,2022-03-16 13:05:51.851102+00,KPLC PREPAID,Bills & Fees,1000,2022-03-11 06:49:00+00,True,25.0,Male,1,200000,ID_5Y35KI6Q,ID_1kmitbhe
16,2022-04-12 15:59:14.139347+00,TABITHA RAORE,Family & Friends,19000,2021-12-18 15:15:00+00,True,25.0,Male,5,252000,ID_3JA0MAFB,ID_1mzk2n06
17,2022-03-10 18:25:42.112294+00,ELIZABETH NYAMBURA,Groceries,250,2021-11-04 11:18:00+00,True,25.0,Female,1,85000,ID_1I8XYBWK,ID_1ti3qcr4
18,2022-04-12 15:59:14.139347+00,SAFARICOM POST PAID,Data & WiFi,3717,2022-03-21 16:05:00+00,True,25.0,Male,5,252000,ID_3JA0MAFB,ID_20esyh4r
19,2021-10-25 16:27:55.188211+00,KFC WOODVALE,Going out,490,2021-10-26 15:51:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_275hk0w4
20,2022-05-31 13:22:16.049027+00,ENVY VIVA CORPORATE,Going out,100,2022-05-30 16:52:00+00,False,25.0,Female,1,85000,ID_1I8XYBWK,ID_2819q67n
21,2021-09-01 02:20:12.680427+00,ENOCK  MAKORI,Transport & Fuel,260,2021-09-05 15:42:00+00,True,26.0,Female,1,30000,ID_WO19RXAS,ID_2khmhy90
22,2022-03-16 13:08:19.703288+00,GLADWELL MBURU,Miscellaneous,200,2022-03-03 17:48:00+00,True,25.0,Male,5,750000,ID_D8FOVVBB,ID_2lpxt9vk
23,2022-04-12 15:59:14.139347+00,WAFULA ANNE,Going out,450,2021-08-07 17:12:00+00,True,25.0,Male,5,252000,ID_3JA0MAFB,ID_2n4qwp60
24,2021-09-01 02:19:31.317098+00,IM BANK,Bills & Fees,800,2021-09-07 02:25:00+00,True,25.0,Male,3,200000,ID_ECX9BS4A,ID_2r3lrw57
25,2022-05-31 13:27:24.704992+00,TUSKYS -T MALL,Groceries,1547,2019-08-30 13:37:00+00,False,25.0,Female,1,85000,ID_1I8XYBWK,ID_2xs0j8l9
26,2022-03-16 13:05:51.851102+00,JIWEKE TAVERN,Going out,10000,2020-09-15 17:53:00+00,False,25.0,Female,1,10000,ID_40L9OTIM,ID_3076ksf3
27,2021-10-25 16:27:55.188211+00,CHRISPIN MALOBA,Bills & Fees,50,2021-09-29 16:20:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_34clqxkv
28,2022-04-08 10:51:16.328443+00,SAFARICOM OFFERS  TUNUKIWA,Data & WiFi,50,2022-04-08 21:21:00+00,False,25.0,Male,3,10000,ID_ZX4DCF4K,ID_34yxgpte
29,2022-03-16 13:08:19.703288+00,GALITOS BELLEVUE,Going out,400,2021-09-04 17:00:00+00,False,25.0,Female,1,85000,ID_1I8XYBWK,ID_3ft5glff
30,2021-11-26 08:29:58.261766+00,SIXTUS ABOLALA,Transport & Fuel,260,2021-11-30 08:03:00+00,True,25.0,Male,3,200000,ID_ECX9BS4A,ID_3ggnueyw
31,2021-08-06 11:28:16.846937+00,OILIBYA WAIYAKI,Transport & Fuel,8250,2021-08-19 15:29:00+00,False,25.0,Male,3,200000,ID_ECX9BS4A,ID_3l5dr4ux
32,2021-08-06 11:28:16.860332+00,ALBERT  MBOGO,Groceries,1030,2021-08-25 04:59:00+00,True,27.0,Female,2,8000,ID_L8QMYB09,ID_3qr1ju4u
33,2022-04-12 15:59:29.101096+00,FATUMA OSORE,Bills & Fees,90,2022-04-20 15:22:00+00,False,25.0,Male,3,10000,ID_ZX4DCF4K,ID_3u480vjv
34,2022-05-31 13:27:24.704992+00,PETER NJOORA KENDA,Miscellaneous,300,2019-05-20 15:27:00+00,True,25.0,Female,3,85000,ID_J8O7LHZ2,ID_3xl370kf
35,2021-11-30 10:51:36.702996+00,IDEAL APPLIANCES,Bills & Fees,24995,2021-05-06 14:14:00+00,False,25.0,Male,1,10000,ID_R4T8Q46J,ID_3xlptxy6
36,2022-05-31 13:27:24.704992+00,KCB PAYBILL AC,Groceries,300,2022-05-31 12:04:00+00,False,25.0,Female,1,23000,ID_Y0386AT9,ID_43z93z6b
